City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,labasa,-16.4167,179.3833,28.29,78,100,2.84,FJ,1740624903
327,ballina,-28.8667,153.5667,25.25,63,0,3.78,AU,1740624904
328,hadibu,12.65,54.0333,23.81,81,41,2.84,YE,1740624905
329,mercedes,-34.6515,-59.4307,19.88,69,91,6.44,AR,1740624906
330,guadalupe y calvo,26.1,-106.9667,7.25,34,58,1.47,MX,1740624907
331,kurchatov,51.6601,35.6521,-14.16,98,68,1.22,RU,1740624908
332,al ghayzah,16.2079,52.176,21.4,91,93,2.43,YE,1740624909
333,vilyuysk,63.7553,121.6247,-15.89,94,100,3.67,RU,1740624910
334,punta arenas,-53.15,-70.9167,8.06,71,75,7.2,CL,1740624711
335,patacamaya,-17.2333,-67.9167,8.55,87,88,4.06,BO,1740624913
336,queenstown,-31.8976,26.8753,14.92,89,76,0.57,ZA,1740624618
337,kerben,40.2951,72.1863,-0.81,75,100,1.37,KG,1740624915
338,xining,36.6167,101.7667,2.72,24,1,1.1,CN,1740624813
339,kapuskasing,49.4169,-82.4331,-1.95,100,100,1.03,CA,1740624902
340,ulundi,-28.3352,31.4162,15.46,94,3,1.92,ZA,1740624918
341,wenzhou,27.9994,120.6668,11.27,86,100,1.21,CN,1740624838
342,neryungri,56.6709,124.6491,-14.07,86,93,6.24,RU,1740624920
343,tralee,52.2704,-9.7026,4.15,86,20,1.4,IE,1740624921
344,vernon,50.2581,-119.2691,6.53,86,100,0.51,CA,1740624817
345,aqsay,51.1678,52.995,-18.81,99,80,3.1,KZ,1740624923
346,hit,33.6416,42.8251,4.62,32,0,2.48,IQ,1740624925
347,mogadishu,2.0371,45.3438,24.84,90,73,6.54,SO,1740624926
348,kollam,8.8833,76.6,26.98,58,73,3.87,IN,1740624927
349,villarrobledo,39.2699,-2.6012,7.01,44,100,1.64,ES,1740624928
350,vidyayevo,69.3191,32.8049,0.11,99,100,1.94,RU,1740624929
351,antsiranana,-12.2787,49.2917,25.15,87,67,3.5,MG,1740624930
352,chiras,35.4167,65.9823,-9.46,68,49,6.12,AF,1740624931
353,westport,41.1415,-73.3579,7.75,63,87,0.38,US,1740624932
354,newman,37.3138,-121.0208,15.58,62,0,1.4,US,1740624933
355,danilov,58.1908,40.1717,-10.45,93,7,1.86,RU,1740624934
356,san carlos,9.6612,-68.5827,29.63,45,79,1.1,VE,1740624935
357,lompoc,34.6391,-120.4579,17.3,71,0,2.06,US,1740624936
358,ormond-by-the-sea,29.3491,-81.0665,18.33,74,0,0.0,US,1740624937
359,east london,-33.0153,27.9116,20.59,85,33,5.51,ZA,1740624913
360,san patricio,28.017,-97.5169,19.97,78,100,4.61,US,1740624939
